local_name	repo	commit	subdir
anthropic-accessibility-review	anthropics/knowledge-work-plugins	01a9cec39b961236e2d99fa2db9b22b534fa27a9	design/skills/accessibility-review
anthropic-code-review	anthropics/knowledge-work-plugins	01a9cec39b961236e2d99fa2db9b22b534fa27a9	engineering/skills/code-review
caveman-review	JuliusBrussee/caveman	0d95a81d35a9f2d123a5e9430d1cfc43d55f1bb0	skills/caveman-review
comment-review	(first-party)	-	lenses/skills/comment-review
copilot-security-review	github/awesome-copilot	5b6da4c588e94363078273d94f8123ea34b2e69e	skills/security-review
copilot-sql-code-review	github/awesome-copilot	5b6da4c588e94363078273d94f8123ea34b2e69e	skills/sql-code-review
copilot-web-design-reviewer	github/awesome-copilot	5b6da4c588e94363078273d94f8123ea34b2e69e	skills/web-design-reviewer
cursor-thermo-nuclear-review	cursor/plugins	14d9dfa06283faa94bf9931d3e98c189bc375680	cursor-team-kit/skills/thermo-nuclear-code-quality-review
mattpocock-code-review	mattpocock/skills	2ab958093e83e0ec752e6c1c5932da465bf23e0c	skills/engineering/code-review
sentry-security-review	getsentry/skills	e7a87fa72645158f9b5e722cbb1c7e09266f48f1	skills/security-review
static-analysis	(first-party)	-	lenses/skills/static-analysis
vercel-next-best-practices	vercel-labs/openreview	672deb21e70e471e0536d5ad7a67c14b8359e97e	.agents/skills/next-best-practices
writing-review	(first-party)	-	lenses/skills/writing-review
wshobson-code-review-excellence	wshobson/agents	c4b82b0ad771190355eb8e204b1329732a18449a	plugins/developer-essentials/skills/code-review-excellence
